county_code,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,exp_current_supp_serve_total,exp_current_other,exp_current_food_serv,enrollment_fall_responsible,enrollment_fall_school,salaries_total,rev_fed_total,salaries_food_service,benefits_supp_sch_admin,exp_current_sch_admin,rev_fed_child_nutrition_act,salaries_supp_bco,rev_total,exp_current_elsec_total,salaries_teachers_regular_prog,rev_state_total,exp_total,salaries_supp_sch_admin,exp_current_bco,rev_state_gen_formula_assist,salaries_supp_operation_plant,exp_current_operation_plant,salaries_instruction,rev_fed_state_title_i,exp_current_instruction_total,rev_fed_state_idea,benefits_employee_total,benefits_supp_bco,debt_longterm_outstand_beg_fy,debt_longterm_outstand_end_fy,rev_local_total,benefits_supp_operation_plant,rev_fed_nonspec,payments_private_schools,salaries_teachers_vocational,payments_charter_schools,rev_state_bilingual_ed,rev_state_gifted_talented,exp_utilities_energy,rev_state_vocational_ed,rev_local_dist_activ_receipts,assets_sinking_fund,incar_rate
01001,6170.0,770.0,276.0,144.0,0.0,114.0,956.0,0.0,156.0,23941000,5456000,5456000,9609,9609,43030000,7447000.0,1751000,1230000.0,4545000,2883000,635000.0,80867000.0,73240000,22460000,53842000.0,76672000,3155000,1303000.0,45007000.0,1384000,5569000,29118000,1719000,43843000,1934000,18122000,179000.0,63042000,60635000,19578000,719000,0,0.0,1072000,0.0,9000,0,0,0,1518000,3396000,0.007526167985703345
01003,8912.0,8472.0,6020.0,488.0,84.0,0.0,0.0,0.0,502.0,97231000,14434000,14434000,30931,30931,156502000,23710000.0,4370000,4875000.0,18690000,8007000,2107000.0,338236000.0,276600000,70403000,145180000.0,299880000,12963000,4604000.0,122748000.0,7323000,29263000,103922000,6083000,164935000,6690000,61621000,770000.0,423220000,412199000,169346000,3736000,0,42000.0,4087000,0.0,67000,0,0,0,5651000,6171000,0.0013916106308037143
01005,4790.0,1546.0,312.0,0.0,48.0,0.0,286.0,102.0,102.0,11797000,2835000,2835000,3754,3754,19094000,5900000.0,759000,571000.0,2219000,2079000,441000.0,36298000.0,34841000,8790000,21334000.0,39913000,1552000,901000.0,17304000.0,450000,2541000,12455000,2052000,20209000,860000,7810000,164000.0,7720000,12009000,9064000,268000,0,0.0,525000,0.0,9000,0,0,0,756000,0,0.009574807940975127
01007,1866.0,808.0,480.0,36.0,168.0,0.0,426.0,12.0,48.0,11087000,2362000,2362000,3322,3322,17107000,3664000.0,804000,533000.0,1941000,1299000,258000.0,32486000.0,29668000,7447000,21846000.0,31662000,1370000,704000.0,17745000.0,408000,2208000,10889000,858000,16219000,843000,7057000,107000.0,20965000,19569000,6976000,234000,0,188000.0,605000,0.0,2000,0,0,0,1143000,1013000,0.0023127382324262032
01009,4516.0,2364.0,194.0,24.0,0.0,0.0,2976.0,0.0,72.0,26420000,5256000,5256000,9347,9347,43025000,7921000.0,1588000,1321000.0,5009000,3015000,351000.0,83430000.0,76117000,22589000,57104000.0,81023000,3421000,687000.0,47934000.0,1266000,6070000,28634000,2216000,44441000,1898000,18059000,128000.0,12493000,11213000,18405000,649000,0,0.0,1291000,0.0,35000,0,0,0,3427000,3317000,0.002717568930148465
01011,174.0,636.0,612.0,0.0,12.0,0.0,42.0,0.0,0.0,6006000,1380000,1380000,1505,0,8111000,3061000.0,413000,232000.0,851000,1157000,160000.0,14876000.0,14382000,3401000,9273000.0,14713000,611000,294000.0,7653000.0,315000,1114000,4572000,1251000,6996000,415000,3339000,60000.0,3816000,3469000,2542000,160000,0,0.0,348000,0.0,8000,0,0,0,185000,413000,0.006852884615384615
01013,2082.0,2076.0,708.0,24.0,12.0,0.0,2418.0,0.0,0.0,10523000,2279000,2279000,3135,3135,16760000,6439000.0,621000,377000.0,1505000,1710000,242000.0,32062000.0,28883000,7070000,18770000.0,31393000,1079000,480000.0,14811000.0,480000,2086000,10411000,1486000,16081000,934000,6707000,93000.0,27738000,26384000,6853000,262000,0,10000.0,505000,0.0,2000,0,0,0,685000,440000,0.03096005154639175
01015,9066.0,4318.0,1368.0,0.0,316.0,90.0,5894.0,60.0,732.0,62139000,11813000,11813000,18115,18115,93967000,19269000.0,3256000,2704000.0,10564000,7354000,1286000.0,180572000.0,170224000,44089000,105714000.0,193460000,7245000,2672000.0,87832000.0,4038000,15141000,62109000,5882000,96272000,4433000,38940000,495000.0,41746000,94082000,55589000,1947000,0,0.0,2905000,0.0,26000,0,0,0,4668000,3399000,0.004340898075058856
01017,3742.0,1554.0,1938.0,24.0,60.0,0.0,72.0,48.0,84.0,15670000,3755000,3755000,4592,4592,24211000,6720000.0,1115000,677000.0,2631000,2871000,532000.0,44963000.0,42749000,10291000,27262000.0,44847000,1827000,1012000.0,22260000.0,700000,3491000,15339000,2106000,23324000,1170000,9946000,191000.0,16711000,14804000,10981000,392000,0,0.0,869000,0.0,5000,0,0,0,1103000,618000,0.011749933837151174
01019,1700.0,938.0,252.0,0.0,72.0,0.0,1086.0,0.0,12.0,13409000,3059000,3059000,4042,4042,21049000,4419000.0,934000,619000.0,2354000,1657000,304000.0,40647000.0,37156000,9602000,24019000.0,41646000,1640000,627000.0,19642000.0,576000,3024000,13469000,1146000,20688000,1082000,8545000,107000.0,20097000,19317000,12209000,275000,0,0.0,1039000,0.0,1000,0,0,0,1686000,370000,0.02624927153347061
