,Year,RealExpend(S&L),RealDirectGenExpend(S&L),USPop_x,RealExpendPerCapita(S&L),RealDirectGenExpendPerCapita(S&L),%ExpendofDirGDP(S&L),RealExpend(L),RealDirectGenExpend(L),USPop_y,RealExpendPerCapita(L),RealDirectGenExpendPerCapita(L),%ExpendofDirGDP(L)
0,2000,72745294,1924700455,282162411,257.81,6821.25,3.78,61755383,1108012978,282162411,218.86,3926.86,5.57
1,2001,74676295,2032532093,284968955,262.05,7132.47,3.67,63562251,1161533851,284968955,223.05,4076.0,5.47
2,2002,79527211,2137490124,287625193,276.5,7431.51,3.72,67920344,1217313198,287625193,236.14,4232.29,5.58
3,2003,81593793,2201524820,290107933,281.25,7588.64,3.71,69650070,1254577097,290107933,240.08,4324.52,5.55
4,2004,82670804,2245712845,292805298,282.34,7669.65,3.68,71470607,1279177968,292805298,244.09,4368.7,5.59
5,2005,84797779,2296347858,295516599,286.95,7770.62,3.69,73381876,1298294307,295516599,248.32,4393.3,5.65
6,2006,87127167,2350677761,298379912,292.0,7878.14,3.71,75130976,1331755041,298379912,251.8,4463.29,5.64
7,2007,90826884,2442925475,301231207,301.52,8109.8,3.72,78515283,1397953279,301231207,260.65,4640.8,0.06
8,2008,94885745,2546977116,304093966,312.03,8375.63,3.73,82096996,1456311900,304093966,269.97,4789.02,5.64
9,2009,100013772,2627153657,306771529,326.02,8563.88,3.81,87154976,1501770650,306771529,284.1,4895.4,5.84
10,2010,99646976,2640584238,309338421,322.13,8536.23,3.77,86769868,1487608231,309338421,280.5,4809.0,5.83
11,2011,98622246,2628986501,311644280,316.46,8435.86,3.75,85518573,1449085333,311644280,274.41,4649.81,5.9
12,2012,96879449,2588307963,313993272,308.54,8243.2,3.74,84007351,1421995545,313993272,267.55,4528.75,5.91
13,2013,97161774,2578059927,316234505,307.25,8152.37,3.77,83873339,1403000424,316234505,265.23,4436.58,5.98
14,2014,98179250,2615804397,318622525,308.14,8209.73,3.75,84629462,1419225082,318622525,265.61,4454.25,5.96
15,2015,100427156,2711554280,321039839,312.82,8446.16,3.7,86564182,1445421155,321039839,269.64,4502.31,5.99
16,2016,103222160,2783198068,323405935,319.17,8605.9,3.71,89041750,1485320716,323405935,275.33,4592.74,5.99
17,2017,106224341,2849126455,325719178,326.12,8747.19,3.73,91914048,1519396952,325719178,282.19,4664.75,6.05
