,state,PK12ed_real,PK12ed_realperch,highered_real,highered_realperch,edsubs_real,edsubs_realperch,edservs_real,edservs_realperch,HeadStartPriv_real,HeadStartPriv_realperch,year
0,Alabama,5460038.5,4.597625255584717,1476929.75,1.2436486482620241,189663.34375,0.1597060114145279,375077.90625,0.3158343434333801,96889.46875,0.08158577233552933,2000
1,Alaska,1544092.625,7.729855060577393,339934.875,1.7017419338226318,7401.97509765625,0.037054896354675286,60953.1953125,0.3051367104053497,13269.59375,0.06642867624759674,2000
2,Arizona,5704004.0,3.9376275539398193,1694331.5,1.169642686843872,195645.4375,0.13505931198596954,171883.34375,0.1186557039618492,76180.015625,0.05258911475539208,2000
3,Arkansas,3166992.0,4.398520469665527,831313.1875,1.15458083152771,170599.71875,0.23693977296352384,262557.53125,0.3646566569805145,65212.69921875,0.0905715599656105,2000
4,California,49953628.0,5.117807388305664,13769279.0,1.4106786251068115,1526061.875,0.15634681284427646,1753113.875,0.179608553647995,575786.75,0.05899002403020859,2000
5,Colorado,5654310.5,4.838380336761475,1402698.75,1.2002861499786377,144601.515625,0.1237351819872856,118371.6484375,0.10129034519195557,49509.24609375,0.042364947497844696,2000
6,Connecticut,6422529.5,7.2571773529052725,923640.3125,1.0436731576919556,146946.640625,0.16604328155517578,233789.046875,0.26417139172554016,47560.16796875,0.05374091118574143,2000
7,Delaware,1247266.875,6.04407262802124,244327.859375,1.1839770078659058,63058.50390625,0.3055722713470459,145310.09375,0.7041513919830322,13381.33203125,0.06484397500753403,2000
8,District of Columbia,1110976.25,9.001079559326172,82400.1171875,0.6676020622253418,0.0,0.0,0.0,0.0,11687.228515625,0.09468939900398254,2000
9,Florida,18063278.0,4.682180881500244,3743220.5,0.97027987241745,738720.375,0.19148364663124084,493529.96875,0.12792786955833435,167454.859375,0.04340596124529839,2000
10,Georgia,12059955.0,5.2486958503723145,2367825.25,1.0305174589157104,724635.9375,0.3153737783432007,321660.25,0.13999196887016296,161311.328125,0.07020541280508041,2000
11,Hawaii,1298793.125,4.179771900177002,561131.5625,1.8058319091796875,5567.83349609375,0.01791838556528091,20623.875,0.06637169420719148,24799.0703125,0.0798082947731018,2000
12,Idaho,1671956.5,4.248990535736084,399271.96875,1.0146812200546265,31899.896484375,0.08106811344623566,67177.828125,0.1707209199666977,13088.0986328125,0.03326115757226944,2000
13,Illinois,18572516.0,5.421255111694336,3297736.5,0.9625982642173768,883672.125,0.25794094800949097,711032.5,0.20754800736904144,245884.671875,0.07177291065454483,2000
14,Indiana,8290667.0,4.972573280334473,1623868.25,0.9739631414413452,349136.9375,0.20940522849559784,285224.03125,0.17107157409191132,88805.0625,0.05326346680521965,2000
15,Iowa,4181670.25,5.361452579498291,1260795.375,1.6165058612823486,222698.34375,0.28552863001823425,195882.53125,0.25114724040031433,51895.69140625,0.06653711944818498,2000
16,Kansas,3787289.0,5.008488655090332,1207215.5,1.5964784622192385,87266.1796875,0.1154048964381218,95544.34375,0.12635232508182526,35939.015625,0.047527439892292016,2000
17,Kentucky,4536243.0,4.308103084564209,1201672.25,1.1412369012832642,231078.703125,0.21945713460445404,282952.5,0.2687220573425293,72687.1953125,0.06903155893087387,2000
18,Louisiana,5781141.5,4.474446296691895,1171919.875,0.907034158706665,297765.96875,0.2304627746343613,346421.15625,0.26812055706977844,111396.9296875,0.0862182006239891,2000
19,Maine,2037506.75,6.385166645050049,285481.59375,0.8946461677551271,45677.76171875,0.1431456059217453,81018.375,0.2538965046405792,27768.30859375,0.08702071011066438,2000
20,Maryland,7745961.0,5.431976795196533,1898928.25,1.3316532373428345,311966.28125,0.2187712639570236,279999.59375,0.19635412096977234,61913.90234375,0.043418098241090775,2000
21,Massachusetts,10472439.0,6.598154544830322,1306071.125,0.8228893876075745,292879.46875,0.18452854454517365,561905.5625,0.35402828454971313,107770.1796875,0.06790054589509964,2000
22,Michigan,17646612.0,6.439027309417725,3367209.25,1.2286524772644043,434746.125,0.15863341093063354,297492.09375,0.10855113714933397,205593.25,0.07501839846372604,2000
23,Minnesota,8239162.5,6.035897254943848,1718506.375,1.2589541673660278,358796.84375,0.2628496289253235,316488.9375,0.2318554371595383,74498.2109375,0.05457636341452599,2000
24,Mississippi,3310252.75,4.028208255767821,1143242.625,1.391198754310608,191144.5625,0.2326016128063202,186157.21875,0.22653257846832275,170335.921875,0.20727981626987454,2000
25,Missouri,7395529.5,4.8928184509277335,1299835.625,0.8599600195884705,228150.34375,0.15094229578971866,388060.0,0.2567371428012848,118861.6796875,0.07863786071538925,2000
26,Montana,1270982.625,5.202484607696533,257596.09375,1.0544123649597168,49603.58984375,0.20304127037525174,116075.5625,0.4751295149326325,20074.642578125,0.08217108249664308,2000
27,Nebraska,2343068.5,4.909232139587402,733444.1875,1.536723256111145,64910.36328125,0.13600116968154907,86554.8671875,0.18135105073452,29825.490234375,0.062490813434123986,2000
28,Nevada,2449071.25,4.523982048034668,530124.25,0.9792580008506776,29175.9375,0.05389447882771492,44218.3515625,0.08168117702007294,16854.755859375,0.031134501099586487,2000
29,New Hampshire,1855054.625,5.661609172821045,147484.90625,0.4501225650310517,59177.64453125,0.18060961365699768,28107.611328125,0.08578416705131531,13405.8603515625,0.040914561599493034,2000
30,New Jersey,18126388.0,8.273927688598633,2192032.5,1.0005699396133425,455171.0625,0.20776629447937006,103250.1953125,0.04712933674454689,138994.625,0.06344515085220337,2000
31,New Mexico,2499177.75,4.655357837677002,943761.375,1.7579970359802246,99511.0546875,0.1853647977113724,65824.7109375,0.12261536717414855,42694.2421875,0.07952895015478134,2000
32,New York,40426172.0,8.174843788146973,4642056.5,0.9387009739875792,1188777.375,0.2403905391693115,473173.15625,0.09568347781896593,454548.46875,0.0919172540307045,2000
33,North Carolina,10153063.0,4.8870062828063965,3375099.0,1.6245471239089966,316775.09375,0.15247435867786407,441921.90625,0.21271167695522308,126699.28125,0.06098456680774689,2000
34,North Dakota,846347.4375,4.9368414878845215,284286.53125,1.6582759618759155,22271.333984375,0.12991124391555786,43740.05859375,0.2551407814025879,6514.31884765625,0.03799876943230629,2000
35,Ohio,16812978.0,5.5115647315979,2326370.5,0.7626216411590576,1039876.6875,0.34088829159736633,276920.0,0.09077882766723633,238446.4375,0.07816657423973082,2000
36,Oklahoma,4473553.5,4.726007461547852,1015333.75,1.072631597518921,139573.28125,0.14744974672794342,177216.796875,0.1872175931930542,82381.7578125,0.08703076839447021,2000
37,Oregon,5024206.5,5.599954605102539,1466418.25,1.6344622373580933,106602.34375,0.11881842464208606,109746.0,0.12232232838869095,55993.84765625,0.06241045519709588,2000
38,Pennsylvania,19205376.0,6.210307598114014,2469237.25,0.7984598875045776,796446.8125,0.2575414180755615,1456600.25,0.4710105955600738,177800.734375,0.05749417468905449,2000
39,Rhode Island,1763223.5,6.669403076171875,235473.296875,0.8906791210174559,47904.3515625,0.18119849264621732,80597.3125,0.30485981702804565,23680.32421875,0.08957096934318542,2000
40,South Carolina,5339035.5,4.977996349334717,1264293.375,1.1787986755371094,209058.109375,0.19492107629776,186023.6875,0.17344428598880768,82934.953125,0.07732667773962021,2000
41,South Dakota,955823.625,4.4386515617370605,178162.484375,0.8273504972457886,12130.4091796875,0.056331165134906776,46752.90234375,0.2171110063791275,16453.013671875,0.07640446722507477,2000
42,Tennessee,6549794.0,4.427295207977295,1479302.125,0.99992573261261,131341.453125,0.0887794941663742,249146.234375,0.16840896010398865,103542.96875,0.06998927146196365,2000
43,Texas,31318094.0,5.020259380340576,6554887.5,1.0507419109344482,604814.375,0.09695114195346832,762993.4375,0.12230708450078966,370483.0,0.05938805639743805,2000
44,Utah,2831637.0,3.685208797454834,1075090.5,1.3991669416427612,67849.625,0.08830229192972182,179443.390625,0.2335350066423416,22753.697265625,0.029612597078084942,2000
45,Vermont,1128147.125,7.2029008865356445,117002.171875,0.7470258474349976,67391.765625,0.4302773773670197,31011.44140625,0.19799929857254028,10798.49609375,0.06894534826278688,2000
46,Virginia,10935101.0,5.9467549324035645,2112772.0,1.1489731073379517,345833.84375,0.18807224929332733,305548.125,0.16616396605968475,73194.40625,0.03980477154254913,2000
47,Washington,8456383.0,5.278878211975098,2114256.0,1.3198195695877075,463498.28125,0.28933778405189514,292722.78125,0.1827315539121628,57413.7421875,0.03584039956331253,2000
48,West Virginia,2704548.5,6.338943958282472,541330.75,1.2687757015228271,62225.91796875,0.14584563672542572,139606.0,0.3272097408771515,44932.2265625,0.1053125411272049,2000
49,Wisconsin,9061538.0,6.241476535797119,2029381.25,1.3978129625320437,305770.25,0.21061080694198608,229484.390625,0.1580660492181778,81487.3515625,0.05612749233841896,2000
50,Wyoming,916113.0,6.6835899353027335,237321.0625,1.7313984632492063,33030.90625,0.2409801334142685,45421.58203125,0.3313775062561035,9981.779296875,0.07282302528619766,2000
0,Alabama,5509615.0,4.651033878326416,1524913.625,1.287281513214111,220572.765625,0.18620020151138306,379801.9375,0.3206161856651306,109519.2109375,0.09245248138904573,2001
1,Alaska,1581612.75,7.947722911834718,380350.25,1.9112886190414429,9422.1201171875,0.04734686017036438,69744.3203125,0.3504704535007477,15511.9658203125,0.07794879376888275,2001
2,Arizona,5892126.5,4.002365589141847,1811839.125,1.2307343482971191,204237.09375,0.13873285055160522,177193.75,0.1203630268573761,92513.375,0.06284188479185104,2001
3,Arkansas,3262079.25,4.542166233062744,880527.0625,1.2260586023330688,191336.25,0.26641935110092163,272286.625,0.3791358172893524,67482.546875,0.09396366775035858,2001
4,California,54597072.0,5.55902099609375,14704007.0,1.4971476793289185,1936470.0,0.1971694976091385,1821773.625,0.18549121916294095,695311.4375,0.0707959309220314,2001
5,Colorado,5971487.0,5.014390468597412,1494020.25,1.2545620203018188,169310.046875,0.1421734094619751,135778.34375,0.114016093313694,46437.890625,0.0389949269592762,2001
6,Connecticut,6690158.0,7.502927780151367,1023646.8125,1.1480069160461426,153036.265625,0.17162823677062988,243956.390625,0.2735940217971802,51715.3671875,0.057998131960630424,2001
7,Delaware,1297523.75,6.236565589904785,324711.15625,1.560728669166565,70185.484375,0.33734750747680664,98703.3671875,0.4744190871715546,15744.4296875,0.07567581534385681,2001
8,District of Columbia,1211986.125,9.786314964294434,82313.1328125,0.6646463871002197,0.0,0.0,0.0,0.0,22818.56640625,0.18425101041793826,2001
9,Florida,18652292.0,4.760084629058838,3955110.0,1.0093482732772827,882773.5,0.2252847403287888,592231.5,0.15113811194896698,197062.9375,0.05029067024588585,2001
10,Georgia,12836697.0,5.495224952697754,2575700.25,1.1026241779327393,759695.0625,0.3252156972885132,469913.625,0.2011639773845673,189005.15625,0.08091067522764206,2001
11,Hawaii,1503548.875,4.847046375274658,616599.9375,1.9877560138702397,9281.7197265625,0.029921824112534526,19023.234375,0.061325903981924064,28167.369140625,0.09080418944358826,2001
12,Idaho,1770894.125,4.46660852432251,433458.125,1.0932825803756714,39049.8984375,0.09849296510219574,69518.078125,0.17534083127975464,22027.77734375,0.0555591993033886,2001
13,Illinois,18826888.0,5.49316930770874,3718646.75,1.0849990844726562,930154.9375,0.27139368653297424,808379.3125,0.2358629107475281,284624.03125,0.08304548263549805,2001
14,Indiana,8516834.0,5.10012674331665,1692016.5,1.0132284164428709,400336.3125,0.23973296582698825,291170.8125,0.17436151206493378,99380.984375,0.05951220914721489,2001
15,Iowa,4130227.0,5.336051940917969,1285508.625,1.6608145236968994,234297.390625,0.30270081758499146,192820.765625,0.24911503493785855,58778.82421875,0.07593937963247299,2001
16,Kansas,3924114.25,5.212899208068848,1221276.5,1.6223766803741455,168758.421875,0.22418324649333954,102877.4453125,0.13666518032550812,40269.40234375,0.05349496006965637,2001
17,Kentucky,4650137.0,4.422804832458496,1420397.25,1.350957989692688,303118.125,0.2882995307445526,287459.84375,0.2734067440032959,83506.3828125,0.07942398637533188,2001
18,Louisiana,5958641.5,4.664652824401856,1240712.875,0.9712775349617004,404459.8125,0.316626638174057,339699.375,0.2659296691417694,125325.625,0.09810969978570938,2001
19,Maine,2078970.25,6.537477970123291,292177.5625,0.9187742471694946,55673.01953125,0.1750679910182953,86637.59375,0.2724384069442749,32924.20703125,0.10353263467550278,2001
20,Maryland,8274068.5,5.7473015785217285,2027454.625,1.4083027839660645,363319.875,0.2523678541183472,306404.5625,0.2128335684537888,76361.6953125,0.05304206907749176,2001
21,Massachusetts,11021806.0,6.9162678718566895,1446387.25,0.9076191186904908,285720.46875,0.17929178476333618,572409.8125,0.3591915667057037,122889.6953125,0.07711422443389893,2001
22,Michigan,17459948.0,6.3794498443603525,3643114.75,1.331107497215271,354128.0,0.1293899565935135,311202.78125,0.1137060970067978,224913.078125,0.08217789232730865,2001
23,Minnesota,8185717.5,5.991463661193848,1793570.5,1.3127881288528442,390943.46875,0.2861476242542267,299236.8125,0.21902374923229215,84581.296875,0.0619085356593132,2001
24,Mississippi,3318017.0,4.073540687561035,1170014.375,1.43643057346344,191658.296875,0.2352995425462723,187459.609375,0.2301447987556457,188951.1875,0.2319760173559189,2001
25,Missouri,7763107.0,5.145390033721924,1450739.0,0.9615502953529358,262579.0625,0.17403748631477356,373100.65625,0.24729123711586,133298.03125,0.08834997564554213,2001
26,Montana,1293539.375,5.359111309051514,254651.4375,1.0550165176391602,56547.359375,0.2342747300863266,124576.265625,0.5161172747612001,24351.998046875,0.1008899062871933,2001
27,Nebraska,2476675.5,5.2070817947387695,791703.625,1.6645157337188718,72339.390625,0.15208981931209564,82541.3671875,0.173538938164711,35263.28125,0.07413921505212784,2001
28,Nevada,2574348.25,4.599390983581543,543289.0625,0.9706530570983888,41201.1484375,0.07361093908548355,50694.46875,0.09057193249464036,24442.8984375,0.04367025941610336,2001
29,New Hampshire,1955905.75,5.930545330047607,160751.625,0.4874185919761658,63921.3671875,0.1938174068927765,24721.087890625,0.07495736330747604,16485.623046875,0.049986425787210464,2001
30,New Jersey,18392710.0,8.330167770385742,2289244.5,1.036812424659729,478481.34375,0.2167070358991623,108832.140625,0.0492907240986824,156714.578125,0.07097696512937546,2001
31,New Mexico,2608435.5,4.898682117462158,1146115.75,2.1524229049682617,127291.78125,0.23905591666698456,70792.328125,0.1329490840435028,49603.171875,0.09315551817417143,2001
32,New York,41785256.0,8.463815689086914,5194888.5,1.0522509813308716,1277758.0,0.25881636142730713,449208.90625,0.09098954498767853,517041.25,0.10472932457923888,2001
33,North Carolina,10405066.0,4.9127960205078125,3550659.5,1.6764589548110962,338948.8125,0.1600361168384552,369281.25,0.17435771226882935,144778.15625,0.06835761666297913,2001
34,North Dakota,845857.5625,5.051313400268555,295140.59375,1.7625279426574707,24313.861328125,0.14519812166690824,42404.19921875,0.2532304525375366,8494.810546875,0.050729520618915565,2001
35,Ohio,17329574.0,5.7034220695495605,2595186.0,0.8541145324707031,1121590.25,0.3691321313381195,299273.4375,0.09849536418914796,275668.5625,0.09072664380073547,2001
36,Oklahoma,4705809.5,5.008807182312012,1101893.0,1.1728416681289673,151061.34375,0.1607878804206848,187782.328125,0.19987326860427854,96070.609375,0.1022564098238945,2001
