,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,6629154,7359421.5,6.106866359710693,1673702,1858077.0,1.5418369770050049,373529,414676.96875,0.3440999984741211,293101,325389.0,0.2700086236000061,532956.601,591667.125,0.49096688628196716,93837.22908226859,104174.3359375,0.08644412457942963,42279.825,46937.37109375,0.038948748260736465,692386.1875,768659.4375,0.6378355622291565,488387.40625,542188.1875,0.44990912079811096,440880.36828669976,489447.75,0.40614497661590576,211984.23312000002,235336.421875,0.19528275728225708,1394834,1548488.875,1.2849400043487549,415049,460770.8125,0.38234877586364746,510575,566819.9375,0.47034862637519836,0.0,0.0,0.0,535718,594732.6875,0.4935106933116913,0,0.0,0.0,1801126.375,1999538.5,1.65922212600708,905316,1005045.625,0.8339893817901611,6756723.5,7501044.0,6.2243852615356445,384845,427239.53125,0.3545244336128235,94121,104489.3671875,0.08670554310083389,362640,402588.4375,0.3340688943862915
Alaska,2077152,2305971.0,11.693565368652344,455945,506171.90625,2.5667946338653564,17314,19221.310546875,0.09747114777565002,67847,75321.0234375,0.3819524645805359,32952.249,36582.26953125,0.18550845980644226,12896.034,14316.6611328125,0.07259970158338547,31919.545,35435.80078125,0.17969472706317902,332174.4375,368766.78125,1.8700140714645386,58719.87890625,65188.4609375,0.3305702805519104,48192.66003704795,53501.5625,0.2713060975074768,8064.522239999998,8952.91015625,0.04540015384554863,94284,104670.328125,0.5307825803756714,84171,93443.28125,0.4738503098487854,46716,51862.234375,0.26299306750297546,0.0,0.0,0.0,145628,161670.375,0.8198294639587402,4646,5157.80322265625,0.02615518867969513,434418.25,482273.75,2.4456071853637695,214300,237907.28125,1.2064263820648193,888329.75,986188.125,5.0009541511535645,224681,249431.859375,1.2648674249649048,36819,40874.98046875,0.20727677643299103,92556,102751.96875,0.5210546255111694
Arizona,7536710,8366954.0,4.860037803649902,1835506,2037705.375,1.1836237907409668,404761,449349.46875,0.2610096335411072,221126,245485.234375,0.14259281754493713,564857.268,627081.9375,0.36424750089645386,78992.01211156815,87693.7734375,0.05093790218234062,137974.614,153173.890625,0.08897275477647781,1361762.375,1511774.125,0.8781307935714722,640071.25,710581.5,0.41274914145469666,377939.0678269508,419572.84375,0.24371354281902313,141469.26024,157053.515625,0.09122627973556519,1246671,1384004.25,0.8039142489433289,573944,637169.6875,0.37010708451271057,715157,793938.6875,0.4611680805683136,0.0,0.0,0.0,730513,810986.3125,0.47107040882110596,455858,506075.3125,0.29395946860313416,3456746.0,3837541.25,2.2290782928466797,1898110,2107205.75,1.2239937782287598,3778839.0,4195116.0,2.436779737472534,508879,564937.125,0.3281500041484833,169768,188469.640625,0.10947468131780624,642757,713563.125,0.4144810438156128
Arkansas,4189066,4650533.5,6.204616069793701,959186,1064849.875,1.4206938743591309,256687,284963.625,0.38019075989723206,91821,101936.0,0.13600026071071625,331712.886,368254.375,0.4913150370121002,65933.87917801255,73197.15625,0.09765766561031342,16536.666,18358.345703125,0.024493208155035973,478085.34375,530751.25,0.708113968372345,269604.0625,299303.65625,0.39932283759117126,258407.55787334844,286873.75,0.38273921608924866,179211.47615999996,198953.40625,0.2654382586479187,746384,828605.6875,1.1055033206939697,250289,277860.84375,0.3707144260406494,289181,321037.1875,0.42831912636756897,0.0,0.0,0.0,523515,581185.4375,0.7754018902778625,16293,18087.8359375,0.024132302030920982,1350299.75,1499048.75,1.9999903440475464,246050,273154.875,0.3644358515739441,2820737.25,3131469.75,4.177922248840332,146619,162770.546875,0.2171640694141388,60082,66700.6328125,0.08899018168449402,147831,164116.0625,0.21895921230316162
California,59255344,65782912.0,6.663096904754639,18746206,20811288.0,2.1079583168029785,2055490,2281922.75,0.2311340868473053,1681605,1866850.625,0.1890917718410492,3444820.044,3824301.5,0.3873603641986847,528593.9926207411,586823.9375,0.05943891406059265,3509503.146,3896110.0,0.39463376998901367,16157931.0,17937888.0,1.8169139623641968,2624822.75,2913973.25,0.295153945684433,1818706.7732489225,2019055.5,0.2045084685087204,579384.8946463868,643209.9375,0.06515020877122879,6640595,7372123.0,0.7467162609100342,3214798,3568940.25,0.3614950180053711,3838404,4261242.5,0.43161773681640625,0.0,0.0,0.0,9435409,10474814.0,1.0609853267669678,1858235,2062938.125,0.20895330607891083,12418906.0,13786973.0,1.3964711427688599,13001648,14433910.0,1.4619989395141602,36866600.0,40927824.0,4.145545482635498,6476526,7189980.0,0.7282671928405762,1167940,1296600.25,0.13133157789707184,4541621,5041926.0,0.5106925368309021
Colorado,6763740,7508833.5,5.839800834655762,1121710,1245277.625,0.9684824347496033,269232,298890.59375,0.23245441913604736,100110,111138.1171875,0.08643479645252228,388616.208,431426.15625,0.33553051948547363,44711.38001209116,49636.78515625,0.03860372304916382,51771.662,57474.828125,0.04469956085085869,1050060.375,1165735.0,0.9066202044487,261381.71875,290175.53125,0.2256765067577362,248784.62672916782,276190.75,0.21480020880699158,54669.68639999999,60692.09765625,0.04720170795917511,703505,781003.125,0.6074049472808838,500019,555101.0625,0.4317154884338379,430761,478213.625,0.371918261051178,0.0,0.0,0.0,746199,828400.3125,0.6442669034004211,292033,324203.34375,0.25214076042175293,1189531.125,1320569.875,1.0270390510559082,1280688,1421768.625,1.1057437658309937,3875034.0,4301907.5,3.3456971645355225,544002,603929.25,0.46969035267829895,240871,267405.34375,0.2079675793647766,922822,1024480.0625,0.7967628240585327
Connecticut,7760351,8615231.0,9.8890380859375,989076,1098032.625,1.2603825330734253,271284,301168.65625,0.3456980288028717,285286,316713.09375,0.36354076862335205,217674.548,241653.578125,0.27738332748413086,41801.514131796954,46406.3671875,0.053267791867256165,89287.313,99123.203125,0.11377909034490585,1376065.75,1527653.125,1.753524661064148,162691.84375,180613.984375,0.20731870830059052,208514.3384219957,231484.28125,0.2657104432582855,52880.385599999994,58705.6875,0.06738562881946564,401792,446053.40625,0.5120047330856323,324005,359697.40625,0.412880539894104,178528,198194.640625,0.22749875485897064,0.0,0.0,0.0,1177107,1306777.125,1.4999909400939941,38352,42576.85546875,0.04887206479907036,913583.75,1014224.125,1.164182424545288,805304,894016.3125,1.0262012481689453,4516885.0,5014465.0,5.755879878997803,645266,716348.5,0.8222643733024597,159600,177181.53125,0.20337875187397003,238513,264787.59375,0.3039378225803375
Delaware,1436644,1594904.75,7.246470928192139,252454,280264.34375,1.2733848094940186,156462,173697.859375,0.7891985177993774,101922,113149.7265625,0.514097273349762,57253.672,63560.73828125,0.2887890636920929,13685.159,15192.7158203125,0.06902830302715302,18162.179,20162.923828125,0.09161051362752914,271635.8125,301559.21875,1.3701382875442505,66227.328125,73522.9296875,0.3340524137020111,62750.99714636276,69663.6484375,0.31651771068573,24470.19072,27165.826171875,0.12342829257249832,148060,164370.296875,0.7468186020851135,85891,95352.75,0.4332364797592163,67477,74910.265625,0.340355783700943,24874.080078125,27614.208984375,0.125465527176857,176877,196361.765625,0.8921722769737244,6250,6938.5,0.03152516484260559,386018.15625,428541.90625,1.9470858573913574,406551,451336.65625,2.050654172897339,811022.875,900365.125,4.090820789337158,116437,129263.703125,0.587311327457428,39982,44386.41796875,0.20167027413845062,58256,64673.48046875,0.2938448190689087
District of Columbia,1745669,1937971.875,17.352277755737305,103578,114988.15625,1.0295848846435547,0,0.0,0.0,0,0.0,0.0,47976.951,53262.09375,0.4768999516963959,10407.998515034436,11554.5439453125,0.10345746576786041,22702.328,25203.216796875,0.22566542029380798,796499.6875,884242.0625,7.917356491088867,60293.63671875,66935.5859375,0.5993301272392273,29513.876088576395,32765.125,0.2933734953403473,31627.323,35111.390625,0.31438156962394714,108444,120390.1875,1.077953815460205,29341,32573.205078125,0.2916550636291504,36709,40752.86328125,0.3648943603038788,39039.83984375,43340.46875,0.38806337118148804,185304,205717.09375,1.8419567346572876,0,0.0,0.0,325859.5,361756.1875,3.239104747772217,508549,564570.75,5.055072784423828,1484239.5,1647743.375,14.753621101379395,473387,525535.3125,4.7055559158325195,41025,45544.3125,0.4077962040901184,135135,150021.46875,1.3432673215866089
Florida,22397560,24864876.0,5.846638202667236,4462402,4953980.0,1.1648612022399902,1787732,1984668.5,0.46666789054870605,594162,659614.875,0.15509949624538422,2040695.429,2265498.5,0.5327012538909912,166977.91443462373,185372.203125,0.043587759137153625,179955.836,199779.765625,0.046975500881671906,3551520.25,3942755.75,0.9270855188369751,1282337.875,1423600.25,0.3347402811050415,1157857.7852145047,1285407.375,0.3022461235523224,621345.5662800001,689793.0,0.16219547390937805,4522642,5020856.0,1.1805862188339233,1378214,1530038.0,0.3597676753997803,1716465,1905550.75,0.4480644166469574,0.0,0.0,0.0,2609358,2896805.0,0.6811444163322449,273202,303297.9375,0.07131639868021011,4746502.0,5269376.5,1.2390223741531372,4615600,5124054.5,1.2048518657684326,18526928.0,20567854.0,4.836251735687256,2366264,2626931.75,0.6176873445510864,553516,614491.3125,0.14448930323123932,2161821,2399967.25,0.5643197298049927
